manga_name,manga_synonym,manga_japanese,manga_english,manga_type,manga_volume,manga_chapters,manga_status,manga_published,manga_genre,manga_theme,manga_demographic,manga_serialization,manga_author,manga_score,manga_ranked,manga_popularity,manga_members,manga_favorites
Shingeki no Kyojin: Kuinaki Sentaku,"Attack on Titan Side Story: A Choice with No Regrets, Shingeki no Kyojin: Birth of Levi, Shingeki no Kyojin Gaiden, The Birth of Rivaille",進撃の巨人 悔いなき選択,Attack on Titan: No Regrets,Manga,2,8,Finished,"Nov  28, 2013 to Jun  28, 2014",ActionAction,,ShoujoShoujo,ARIA,"Suruga, Hikaru(Art),Sunaaku, Gan(Story)","8.161(scored by2972229,722 users)1indicates aweighted score.",#51122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#336,"55,074","1,138"
Fukigen na Mononokean,,不機嫌なモノノケ庵,The Morose Mononokean,Manga,18,93,Finished,"Sep  12, 2013 to Apr  22, 2021","ComedyComedy,SupernaturalSupernatural",,,Gangan Online,"Wazawa, Kiri(Story & Art)","8.161(scored by40644,064 users)1indicates aweighted score.",#51222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1668,"14,099",523
Doukyuusei: Gold Ring & Silver Ring,,同級生 限定小冊子【gold ring】 & 【silver ring】,,Manga,1,2,Finished,"Nov  5, 2016",Boys LoveBoys Love,,,None,"Nakamura, Asumiko(Story & Art)","8.161(scored by39753,975 users)1indicates aweighted score.",#51322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2443,"9,836",58
Trapped,Olgami,올가미,Trapped,Manhwa,Unknown,203,Finished,"Sep  2, 2019 to May  20, 2024","RomanceRomance,SuspenseSuspense",PsychologicalPsychological,,Naver Webtoon,Haemuri(Story & Art),"8.151(scored by28252,825 users)1indicates aweighted score.",#51422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2964,"8,339",283
The Stellar Swordmaster,"Star-Fostered Swordmaster, Star-Embracing Swordmaster",별을 품은 소드마스터,The Stellar Swordmaster,Manhwa,Unknown,Unknown,Publishing,"Sep  19, 2023 to ?","ActionAction,FantasyFantasy",,,Naver Webtoon,"Q10(Story),Juno(Art)","8.151(scored by62236,223 users)1indicates aweighted score.",#51522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1062,"20,518",250
Star Ginseng Store,"Byeol I Sam Sharp, *23#, Star Ginseng Shop",별이삼샵,,Manhwa,Unknown,Unknown,Publishing,"Dec  6, 2019 to ?","ComedyComedy,DramaDrama,RomanceRomance",SchoolSchool,,Naver Webtoon,Hyeono(Story & Art),8.151(scored by453453 users)1indicates aweighted score.,#51622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#12380,"1,635",56
Dai Densetsu no Yuusha no Densetsu,"The Great Legend of the Legendary Heroes, DaiDenYuuDen",大伝説の勇者の伝説,,Light Novel,18,97,Finished,"Oct  25, 2007 to May  20, 2025","ActionAction,AdventureAdventure,FantasyFantasy",,,None,"Kagami, Takaya(Story),Toyota, Saori(Art)",8.151(scored by589589 users)1indicates aweighted score.,#51722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#6732,"3,497",57
Mahouka Koukou no Rettousei,,魔法科高校の劣等生,The Irregular at Magic High School,Light Novel,32,Unknown,Finished,"Jul  8, 2011 to Sep  10, 2020","ActionAction,FantasyFantasy,RomanceRomance,Sci-FiSci-Fi","SchoolSchool,Urban FantasyUrban Fantasy",,None,"Satou, Tsutomu(Story),Ishida, Kana(Art)","8.151(scored by96299,629 users)1indicates aweighted score.",#51822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#652,"31,543","1,402"
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"AnoHana, We Still Don't Know the Name of the Flower We Saw That Day",あの日見た花の名前を僕達はまだ知らない。,,Manga,3,13,Finished,"Apr  4, 2012 to Apr  4, 2013",DramaDrama,,ShounenShounen,Jump SQ.,"Izumi, Mitsu(Art)","8.151(scored by66776,677 users)1indicates aweighted score.",#51922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1299,"17,281",288
Fate/kaleid liner Prisma☆Illya 3rei!!,Fate/kaleid liner Prisma Illya drei!,Fate/kaleid liner プリズマ☆イリヤ ドライ!!,,Manga,Unknown,Unknown,Publishing,"May  26, 2012 to ?","ActionAction,ComedyComedy,FantasyFantasy",Mahou ShoujoMahou Shoujo,,Comp Ace,"Hiroyama, Hiroshi(Story & Art)","8.151(scored by39093,909 users)1indicates aweighted score.",#52022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2165,"11,088",408
Feng Shen Ji,"The Legend and the Hero, Chronicles of the God's Order, The Legend and the Hero",封神記,,Manhua,Unknown,38,Finished,2010 to  2011,"ActionAction,FantasyFantasy,SupernaturalSupernatural","HistoricalHistorical,Martial ArtsMartial Arts",,None,"Deng, Zhi Hui(Art),Zheng, Jian He(Story),Cheng, Kin Wo(Art)","8.151(scored by1022010,220 users)1indicates aweighted score.",#52122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#726,"28,653",581
Mahou Shoujo Madoka★Magica: The Different Story,,魔法少女まどか☆マギカ ～The different story～,Puella Magi Madoka★Magica: The different story,Manga,3,12,Finished,"Jun  12, 2012 to Nov  12, 2012","DramaDrama,HorrorHorror","Mahou ShoujoMahou Shoujo,SchoolSchool",SeinenSeinen,None,"Magica Quartet(Story),Hanokage(Art)","8.151(scored by86938,693 users)1indicates aweighted score.",#52222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1227,"18,041",679
Fate/stay night: Garden of Avalon,,Fate/stay night Garden of Avalon,,Light Novel,1,7,Finished,"Mar  25, 2015","FantasyFantasy,SupernaturalSupernatural",,,None,"Nasu, Kinoko(Story)","8.151(scored by13541,354 users)1indicates aweighted score.",#52322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4978,"4,884",123
Uzumaki,The Spiral,うずまき,Uzumaki: Spiral into Horror,Manga,3,19,Finished,"Jan  12, 1998 to Aug  30, 1999","DramaDrama,HorrorHorror,SupernaturalSupernatural",,SeinenSeinen,Big Comic Spirits,"Itou, Junji(Story & Art)","8.151(scored by141035141,035 users)1indicates aweighted score.",#52422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#31,"249,796","15,673"
Sayonara Zetsubou Sensei,Farewell Mr. Despair,さよなら絶望先生,"Sayonara, Zetsubou-Sensei",Manga,30,302,Finished,"Apr  27, 2005 to Jun  13, 2012","Award WinningAward Winning,ComedyComedy","Gag HumorGag Humor,ParodyParody,SchoolSchool",ShounenShounen,Shounen Magazine (Weekly),"Kumeta, Kouji(Story & Art)","8.151(scored by86578,657 users)1indicates aweighted score.",#52522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#593,"33,925","1,437"
Shingetsutan Tsukihime,"True Lunar Chronicle Tsukihime, Lunar Legend Chronicles",真月譚 月姫,Lunar Legend Tsukihime,Manga,10,74,Finished,"Aug  21, 2003 to Jul  27, 2010","ActionAction,HorrorHorror,RomanceRomance,SupernaturalSupernatural",VampireVampire,,Dengeki Daioh,"Type-Moon(Story),Nasu, Kinoko(Story),Sasaki, Shonen(Story & Art)","8.151(scored by1855418,554 users)1indicates aweighted score.",#52622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#436,"44,942","2,075"
Gunnm: Last Order,,銃夢 Last Order,Battle Angel Alita: Last Order,Manga,19,124,Finished,"Jul  19, 2001 to Jan  28, 2014","ActionAction,DramaDrama,Sci-FiSci-Fi",Martial ArtsMartial Arts,SeinenSeinen,Ultra Jump,"Kishiro, Yukito(Story & Art)","8.151(scored by95519,551 users)1indicates aweighted score.",#52722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#778,"27,058",843
Fushigi Yuugi: Genbu Kaiden,"Fushigi Yugi Genbu Kaiden, Ayashi no Ceres Gaiden",ふしぎ遊戯 玄武開伝,Fushigi Yugi: Genbu Kaiden,Manga,12,40,Finished,"Mar  15, 2003 to Feb  14, 2013","AdventureAdventure,DramaDrama,FantasyFantasy,RomanceRomance","HistoricalHistorical,IsekaiIsekai,Magical Sex ShiftMagical Sex Shift",ShoujoShoujo,Sho-Comi Zoukan,"Watase, Yuu(Story & Art)","8.151(scored by53035,303 users)1indicates aweighted score.",#52822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1765,"13,572",491
Bakuon Rettou,"Detonation Islands, Sonic Boom Islands",爆音列島,,Manga,18,105,Finished,"Oct  24, 2002 to Nov  24, 2012","ActionAction,DramaDrama","PsychologicalPsychological,SchoolSchool",SeinenSeinen,Afternoon,"Takahashi, Tsutomu(Story & Art)","8.151(scored by30853,085 users)1indicates aweighted score.",#52922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1393,"16,237",465
Touhou Shinigami: Meteor Methuselah Gaiden,"Meteor Methuselah: Shinigami of the East, Immortal Rain: Shinigami of the East",東方死神 メテオ・メトセラ外伝,,Manga,1,9,Finished,"Oct  20, 2004 to Jun  28, 2007","ActionAction,DramaDrama,FantasyFantasy",,ShoujoShoujo,Wings,"Ozaki, Kaori(Story & Art)","8.151(scored by21102,110 users)1indicates aweighted score.",#53022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3828,"6,446",52
Tonikaku Kawaii,Generally Cute,トニカクカワイイ,Fly Me to the Moon,Manga,Unknown,Unknown,Publishing,"Feb  14, 2018 to ?","ComedyComedy,RomanceRomance",,ShounenShounen,Shounen Sunday,"Hata, Kenjirou(Story & Art)","8.151(scored by3314433,144 users)1indicates aweighted score.",#53122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#185,"92,682","3,635"
Bungou Stray Dogs: Dead Apple,,文豪ストレイドッグス DEAD APPLE,Bungo Stray Dogs: Dead Apple,Manga,4,15,Finished,"Mar  9, 2018 to Jun  29, 2023","ActionAction,MysteryMystery,SupernaturalSupernatural",DetectiveDetective,,Young Ace UP,Ganjii(Art),"8.151(scored by18721,872 users)1indicates aweighted score.",#53222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2887,"8,536",102
Shin High School DxD,,真ハイスクールD×D,,Light Novel,Unknown,Unknown,Publishing,"Jul  20, 2018 to ?","ComedyComedy,FantasyFantasy,RomanceRomance,SupernaturalSupernatural,EcchiEcchi","HaremHarem,MythologyMythology,SchoolSchool",,None,"Ishibumi, Ichiei(Story),Miyama-Zero(Art)","8.151(scored by13241,324 users)1indicates aweighted score.",#53322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4468,"5,526",92
Ase to Sekken,,あせとせっけん,Sweat and Soap,Manga,11,104,Finished,"Jun  21, 2018 to Jan  7, 2021","ComedyComedy,RomanceRomance","Adult CastAdult Cast,WorkplaceWorkplace",SeinenSeinen,Morning,"Yamada, Kintetsu(Story & Art)","8.151(scored by1824318,243 users)1indicates aweighted score.",#53422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#391,"49,597","1,502"
Ponkotsu Ponko,Useless Ponko,ぽんこつポン子,,Manga,10,79,Finished,"Mar  25, 2019 to May  24, 2021","ComedyComedy,Slice of LifeSlice of Life",,SeinenSeinen,Big Comic Spirits,"Yatera, Keita(Story & Art)","8.151(scored by41704,170 users)1indicates aweighted score.",#53522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1666,"14,106",272
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen - Kizokuin Gaiden,,本好きの下剋上～司書になるためには手段を選んでいられません～貴族院外伝,Ascendance of a Bookworm: I'll do Anything to Become a Librarian! - Royal Academy Stories,Light Novel,1,18,On Hiatus,"Oct  10, 2018",FantasyFantasy,,,None,"Shiina, You(Art),Kazuki, Miya(Story)",8.151(scored by395395 users)1indicates aweighted score.,#53622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#12787,"1,563",5
Yamada-kun to Lv999 no Koi wo Suru,"My Lv999 Love for Yamada-kun, Loving Yamada at Lv999",山田くんとLv999の恋をする,My Love Story with Yamada-kun at Lv999,Manga,Unknown,Unknown,Publishing,"Mar  7, 2019 to ?",RomanceRomance,Video GameVideo Game,,Ganma!,Mashiro(Story & Art),"8.151(scored by2119921,199 users)1indicates aweighted score.",#53722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#281,"65,949","2,278"
Mystery to Iu nakare,Do Not Say Mystery,ミステリと言う勿れ,Don't Call It Mystery,Manga,Unknown,Unknown,Publishing,"Nov  28, 2017 to ?","Award WinningAward Winning,MysteryMystery",,JoseiJosei,Flowers (Monthly),"Tamura, Yumi(Story & Art)","8.141(scored by16751,675 users)1indicates aweighted score.",#53822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1764,"13,580",161
Tengoku Daimakyou,Heaven's Great Magical Barrier,天国大魔境,Heavenly Delusion,Manga,Unknown,Unknown,Publishing,"Jan  25, 2018 to ?","AdventureAdventure,MysteryMystery,Sci-FiSci-Fi",,SeinenSeinen,Afternoon,"Ishiguro, Masakazu(Story & Art)","8.141(scored by1064510,645 users)1indicates aweighted score.",#53922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#446,"44,131","1,025"
Your Letter,"Yeon-ui Pyeonji, Yeon's Letter",연의 편지,Your Letter,Manhwa,1,11,Finished,"Aug  11, 2018 to Oct  13, 2018","AdventureAdventure,DramaDrama,MysteryMystery",SchoolSchool,,Naver Webtoon,"Cho, Hyun-ah(Story & Art)","8.141(scored by67516,751 users)1indicates aweighted score.",#54022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1504,"15,416",313
Something About Us,"Woori, Our Relationship Is, Ulisaineueun",우리사이느은,Something About Us,Manhwa,5,101,Finished,"Oct  1, 2014 to Oct  19, 2016",RomanceRomance,SchoolSchool,,Lezhin Comics Webtoon,"Lee, Yunji(Story & Art)","8.141(scored by1061010,610 users)1indicates aweighted score.",#54122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#676,"30,592",766
Yakusoku no Neverland,,約束のネバーランド,The Promised Neverland,Manga,20,181,Finished,"Aug  1, 2016 to Jun  15, 2020","Award WinningAward Winning,MysteryMystery,SuspenseSuspense","PsychologicalPsychological,SurvivalSurvival",ShounenShounen,Shounen Jump (Weekly),"Demizu, Posuka(Art),Shirai, Kaiu(Story)","8.141(scored by169274169,274 users)1indicates aweighted score.",#54222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#19,"332,341","20,588"
Nano Machine,,나노마신,Nano Machine,Manhwa,Unknown,Unknown,Publishing,"Jun  10, 2020 to ?","ActionAction,AdventureAdventure,FantasyFantasy,Sci-FiSci-Fi",Martial ArtsMartial Arts,,Naver Webtoon,"Hanjung Wolya(Story),Geumgang Bulgoe(Art)","8.141(scored by1506415,064 users)1indicates aweighted score.",#54322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#503,"40,159",848
Maison Ikkoku,,めぞん一刻,Maison Ikkoku,Manga,15,162,Finished,"Oct  14, 1980 to Apr  6, 1987","ComedyComedy,DramaDrama,RomanceRomance",Adult CastAdult Cast,SeinenSeinen,Big Comic Spirits,"Takahashi, Rumiko(Story & Art)","8.141(scored by65026,502 users)1indicates aweighted score.",#54422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1054,"20,631",813
Shiawase Kissa 3-choume,"Shiawase Kissa Sanchoume, Suitei Seinen Shoujo, Hana to Ageha, Natsu, Number One DX, Sora no Namae",幸福喫茶3丁目,Happy Cafe,Manga,15,88,Finished,"Dec  4, 2004 to Aug  20, 2009","ComedyComedy,RomanceRomance,Slice of LifeSlice of Life",,ShoujoShoujo,Hana to Yume,"Matsuzuki, Kou(Story & Art)","8.141(scored by81288,128 users)1indicates aweighted score.",#54522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1068,"20,420",464
Iryuu: Team Medical Dragon,,医龍-Team Medical Dragon-,,Manga,25,210,Finished,"Nov  1, 2002 to Jan  28, 2011","Award WinningAward Winning,DramaDrama","MedicalMedical,PsychologicalPsychological",SeinenSeinen,Big Comic Superior,"Nagai, Akira(Story),Nogizaka, Tarou(Art)","8.141(scored by44234,423 users)1indicates aweighted score.",#54622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1638,"14,323",229
Adolf ni Tsugu,"Tell Adolf, The Stories of Three Adolfs",アドルフに告ぐ,Message to Adolf,Manga,4,36,Finished,"Dec  22, 1982 to May  16, 1985","Award WinningAward Winning,DramaDrama","HistoricalHistorical,MilitaryMilitary",,Shuukan Bunshun,"Tezuka, Osamu(Story & Art)","8.141(scored by70567,056 users)1indicates aweighted score.",#54722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#791,"26,699",533
Sengoku Youko,Warring States Youko,戦国妖狐,Sengoku Youko,Manga,17,100,Finished,"Dec  28, 2007 to May  20, 2016","ActionAction,AdventureAdventure,FantasyFantasy","HistoricalHistorical,MythologyMythology",ShounenShounen,Blade Online,"Mizukami, Satoshi(Story & Art)","8.141(scored by58445,844 users)1indicates aweighted score.",#54822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1017,"21,240",369
Sora no Otoshimono,"Lost Continent of the Sky, Misplaced by Heaven, Heaven's Lost Property, Lost Property of the Sky",そらのおとしもの,,Manga,20,97,Finished,"Mar  26, 2007 to Feb  26, 2014","ComedyComedy,DramaDrama,RomanceRomance,Sci-FiSci-Fi,EcchiEcchi",SchoolSchool,ShounenShounen,Shounen Ace,"Minazuki, Suu(Story & Art)","8.141(scored by2046920,469 users)1indicates aweighted score.",#54922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#416,"46,232","2,159"
Zankoku na Kami ga Shihai suru,"A Cruel God Reigns, A Cruel God Rules in Heaven, A Savage God Reigns, After Us, the Savage God, Zankoku na Kami ga Shihaisuru",残酷な神が支配する,,Manga,17,55,Finished,"May  26, 1992 to May  26, 2001","Award WinningAward Winning,Boys LoveBoys Love,DramaDrama",PsychologicalPsychological,ShoujoShoujo,Petit Flower,"Hagio, Moto(Story & Art)","8.141(scored by28752,875 users)1indicates aweighted score.",#55022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2123,"11,289",460
Ao Haru Ride,"Aoharaido, Blue Spring Ride",アオハライド,,Light Novel,6,20,Finished,"Dec  27, 2011 to Jun  2, 2015",RomanceRomance,SchoolSchool,ShoujoShoujo,None,"Sakisaka, Io(Art),Abe, Akiko(Story)","8.141(scored by1154211,542 users)1indicates aweighted score.",#55122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#785,"26,888","2,508"
Nukozuke!,Nukoduke!,ぬこづけ！,Nukozuke!,Manga,Unknown,Unknown,Publishing,"Apr  6, 2012 to ?","ComedyComedy,Slice of LifeSlice of Life",PetsPets,ShoujoShoujo,Hana LaLa online,"Yugi, Iro(Story & Art)","8.141(scored by33333,333 users)1indicates aweighted score.",#55222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2109,"11,398",291
Helck,Helck the Hero,Helck,Helck,Manga,12,111,Finished,"May  5, 2014 to Dec  18, 2017","ActionAction,FantasyFantasy",,,Ura Sunday,"Nanao, Nanaki(Story & Art)","8.141(scored by1550415,504 users)1indicates aweighted score.",#55322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#437,"44,833","1,079"
Hakumei to Mikochi,"Kobito Hiyori, Kobitobiyori, Kinou no Akane, Ashimoto no Arukikata",ハクメイとミコチ,Hakumei and Mikochi,Manga,Unknown,Unknown,Publishing,"Apr  30, 2011 to ?","FantasyFantasy,Slice of LifeSlice of Life",IyashikeiIyashikei,SeinenSeinen,Harta,"Kashiki, Takuto(Story & Art)","8.131(scored by16191,619 users)1indicates aweighted score.",#55422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2380,"10,064",251
Hidamari ga Kikoeru,,ひだまりが聴こえる,I Hear the Sunspot,Manga,1,6,Finished,"Dec  21, 2013 to Aug  20, 2014","Boys LoveBoys Love,Slice of LifeSlice of Life",SchoolSchool,,Canna,"Fumino, Yuki(Story & Art)","8.131(scored by1314213,142 users)1indicates aweighted score.",#55522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#566,"35,633","1,065"
Heesu in Class 2,2-ban Lee Heesu,2반 이희수,Heesu in Class 2,Manhwa,4,81,Finished,"Nov  15, 2017 to Jun  26, 2019",Boys LoveBoys Love,SchoolSchool,,Lezhin Comics Webtoon,Lily(Story & Art),"8.131(scored by33023,302 users)1indicates aweighted score.",#55622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3056,"8,098",200
Your Throne,"I Want to Be You, Just For A Day, Haruman Nega Doego Sipeo",하루만 네가 되고 싶어,Your Throne,Manhwa,Unknown,Unknown,Publishing,"Jan  6, 2020 to ?","DramaDrama,FantasyFantasy,RomanceRomance",,,Naver Webtoon,SAM(Story & Art),"8.131(scored by91009,100 users)1indicates aweighted score.",#55722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#728,"28,558",770
Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,"Roshidere, Alya-san, who sits besides me and sometimes murmurs affectionately in Russian., Arya Next Door Sometimes Lapses into Russian",時々ボソッとロシア語でデレる隣のアーリャさん,Alya Sometimes Hides Her Feelings in Russian,Light Novel,Unknown,Unknown,Publishing,"Feb  27, 2021 to ?","ComedyComedy,RomanceRomance",SchoolSchool,,None,"Momoco(Art),Sun Sun, Sun(Story)","8.131(scored by53235,323 users)1indicates aweighted score.",#55822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1035,"20,988","1,022"
Binbougami ga!,"Binboukami ga!, Binbou Kami ga!, The God of Poverty Is!, Kaette Kudasai.",貧乏神が！,,Manga,16,81,Finished,"Jun  4, 2008 to Jul  4, 2013","ComedyComedy,SupernaturalSupernatural",MythologyMythology,ShounenShounen,Jump SQ.,"Sukeno, Yoshiaki(Story & Art)","8.131(scored by75247,524 users)1indicates aweighted score.",#55922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1036,"20,984",580
Hoshi Mamoru Inu,Star Protector Dog,星守る犬,Stargazing Dog,Manga,1,4,Finished,"Jul  22, 2008 to Jan  20, 2009",Slice of LifeSlice of Life,PetsPets,SeinenSeinen,Manga Action,"Murakami, Takashi(Story & Art)","8.131(scored by99029,902 users)1indicates aweighted score.",#56022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#971,"22,075",493
Bokura wa Minna Kawai-sou,,僕らはみんな河合荘,The Kawai Complex Guide to Manors and Hostel Behavior,Manga,11,93,Finished,"Apr  30, 2010 to May  30, 2018","RomanceRomance,Slice of LifeSlice of Life",SchoolSchool,SeinenSeinen,Young King OURs,"Miyahara, Ruri(Story & Art)","8.131(scored by1729517,295 users)1indicates aweighted score.",#56122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#418,"46,202","1,501"
Killer Crush,"When the Killer Falls in Love, Killer-ga Sarang-e Ppajeosseul Ttae",킬러가 사랑에 빠졌을 때,Killer Crush,Manhwa,5,16,Finished,"Sep  2, 2021 to Aug  30, 2024","Boys LoveBoys Love,ComedyComedy","Adult CastAdult Cast,Organized CrimeOrganized Crime",,Lezhin Comics Webtoon,Eresemo(Story & Art),"8.131(scored by13921,392 users)1indicates aweighted score.",#56222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#6468,"3,662",96
Phantom Busters,,ファントムバスターズ,Phantom Busters,Manga,Unknown,Unknown,Publishing,"Aug  4, 2023 to ?",SupernaturalSupernatural,SchoolSchool,ShounenShounen,Jump SQ.,shoco(Story & Art),"8.131(scored by15451,545 users)1indicates aweighted score.",#56322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2657,"9,188",299
Kimi to Uchuu wo Aruku Tame ni,I Want To Walk In Space with You,君と宇宙を歩くために,Spacewalking with You,Manga,Unknown,Unknown,Publishing,"Jun  23, 2023 to ?","Award WinningAward Winning,Slice of LifeSlice of Life",SchoolSchool,JoseiJosei,&Sofa,"Doronoda, Inuhiko(Story & Art)",8.131(scored by517517 users)1indicates aweighted score.,#56422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5769,"4,149",63
Kareshi Kanojo no Jijou,"His and Hers, The Tiger and the Chameleon: A Promise for One Week, Ashita Mata Mori de Aou ne, Meet Me Again Tomorrow in the Forest, KKNJ, Abareru Ousama, The Raging King",彼氏彼女の事情,Kare Kano: His and Her Circumstances,Manga,21,108,Finished,"Dec  22, 1995 to May  10, 2005","ComedyComedy,DramaDrama,RomanceRomance",SchoolSchool,ShoujoShoujo,LaLa,"Tsuda, Masami(Story & Art)","8.131(scored by1500915,009 users)1indicates aweighted score.",#56522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#477,"41,638","1,638"
Emma,"Emma Bangaihen, Emma Bangai-hen, Emma Further Tales, Victorian Romance Emma",エマ,Emma,Manga,10,72,Finished,"Dec  12, 2001 to Feb  12, 2008","Award WinningAward Winning,RomanceRomance,Slice of LifeSlice of Life",HistoricalHistorical,SeinenSeinen,Comic Beam,"Mori, Kaoru(Story & Art)","8.131(scored by1145511,455 users)1indicates aweighted score.",#56622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#647,"31,657",876
Kaze to Ki no Uta,"The Song of Wind and Trees, KazeKi, The Poem of the Wind and the Trees, The Song of the Wind and the Trees",風と木の詩,,Manga,17,139,Finished,"Feb  29, 1976 to Jun  1984","Award WinningAward Winning,Boys LoveBoys Love,DramaDrama",HistoricalHistorical,ShoujoShoujo,Sho-Comi,"Takemiya, Keiko(Story & Art)","8.131(scored by17931,793 users)1indicates aweighted score.",#56722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2118,"11,339",376
JoJo no Kimyou na Bouken Part 2: Sentou Chouryuu,Dai Ni Bu Joseph Joestar: Sono Hokoritakaki Kettou,ジョジョの奇妙な冒険 戦闘潮流,JoJo's Bizarre Adventure Part 2: Battle Tendency,Manga,7,69,Finished,"Oct  20, 1987 to Mar  14, 1989","ActionAction,AdventureAdventure","HistoricalHistorical,VampireVampire",ShounenShounen,Shounen Jump (Weekly),"Araki, Hirohiko(Story & Art)","8.131(scored by7110971,109 users)1indicates aweighted score.",#56822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#130,"115,796","3,502"
Oooku,Ōoku: The Inner Chambers,大奥,Oooku: The Inner Chambers,Manga,19,79,Finished,"Jun  28, 2004 to Dec  28, 2020","Award WinningAward Winning,DramaDrama","HistoricalHistorical,SamuraiSamurai",ShoujoShoujo,Melody,"Yoshinaga, Fumi(Story & Art)","8.131(scored by18071,807 users)1indicates aweighted score.",#56922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1852,"13,001",214
Kimi to Boku.,You and I,君と僕。,,Manga,17,103,Finished,"Sep  24, 2004 to Mar  18, 2022","ComedyComedy,DramaDrama,RomanceRomance,Slice of LifeSlice of Life",SchoolSchool,ShounenShounen,GFantasy,"Hotta, Kiichi(Story & Art)","8.131(scored by20182,018 users)1indicates aweighted score.",#57022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1987,"12,116",249
Full Metal Panic!,FMP,フルメタル・パニック!,Full Metal Panic!,Light Novel,12,72,Finished,"Sep  9, 1998 to Aug  20, 2011","ActionAction,ComedyComedy,DramaDrama,RomanceRomance,Sci-FiSci-Fi","Love PolygonLove Polygon,MechaMecha,MilitaryMilitary,SchoolSchool",,None,"Gatou, Shouji(Story),Shiki, Douji(Art)","8.131(scored by28842,884 users)1indicates aweighted score.",#57122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2367,"10,132",235
Keishichou Tokuhanka 007,Shichou Tokoka 007,警視庁特犯課007,,Manga,11,43,Finished,"Oct  20, 2006 to Mar  20, 2012",SupernaturalSupernatural,DetectiveDetective,ShoujoShoujo,Ichiraci,"Kaji, Eiri(Story & Art)","8.131(scored by39393,939 users)1indicates aweighted score.",#57222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2082,"11,544",318
